date,transaction_type,category,amount
2021-01-09,expense,Cash_out,79940.12
2021-01-09,expense,Cash_out,62352.99
2021-01-09,expense,Cash_out,197912.32
2021-01-09,expense,Cash_out,309391.58
2021-01-09,expense,Cash_out,151104.84
2021-01-09,expense,Cash_out,220987.87
2021-01-09,expense,Cash_out,321040.02
2021-01-09,expense,Cash_out,206339.72
2021-01-09,expense,Cash_out,220060.62
2021-01-09,expense,Cash_out,384740.03
2021-01-09,expense,Cash_out,192020.71
2021-01-09,expense,Cash_out,136692.84
2021-01-09,expense,Cash_out,206781.75
2021-01-09,expense,Cash_out,294560.46
2021-01-09,expense,Cash_out,95544.51
2021-01-09,expense,Payment,32933.51
2021-01-09,expense,Transfer,1605703.26
2021-01-09,income,Cash_in,389004.39
2021-01-09,income,Cash_in,336682.41
2021-01-09,expense,Payment,20128.73
2021-01-09,expense,Cash_out,212973.99
2021-01-09,expense,Cash_out,310197.83
2021-01-09,expense,Cash_out,204599.16
2021-01-09,expense,Payment,3531.51
2021-01-09,expense,Payment,4228.14
2021-01-09,expense,Cash_out,118390.51
2021-01-09,expense,Cash_out,137291.59
2021-01-09,expense,Cash_out,68791.8
2021-01-09,expense,Payment,2703.8
2021-01-09,income,Cash_in,358153.33
2021-01-09,expense,Payment,4531.54
2021-01-09,income,Cash_in,85613.9
2021-01-09,expense,Payment,15692.35
2021-01-09,expense,Payment,27806.55
2021-01-09,expense,Cash_out,452570.63
2021-01-09,expense,Payment,17208.39
2021-01-09,expense,Payment,278.03
2021-01-09,expense,Cash_out,339681.36
2021-01-09,expense,Cash_out,63596.74
2021-01-09,expense,Cash_out,262119.96
2021-01-09,income,Cash_in,77907.15
2021-01-09,expense,Payment,11992.37
2021-01-09,expense,Payment,23238.07
2021-01-09,income,Cash_in,134524.59
2021-01-09,expense,Cash_out,163669.99
2021-01-09,expense,Cash_out,207769.51
2021-01-09,expense,Payment,17168.58
2021-01-09,income,Cash_in,2228.22
2021-01-09,expense,Payment,10033.34
2021-01-09,expense,Cash_out,234847.79
2021-01-09,income,Cash_in,330384.16
2021-01-09,expense,Payment,22978.49
2021-01-09,income,Cash_in,320230.06
2021-01-09,expense,Payment,1946.69
2021-01-09,income,Cash_in,158859.6
2021-01-09,expense,Cash_out,443539.1
2021-01-09,expense,Payment,10385.81
2021-01-09,expense,Cash_out,358960.99
2021-01-09,income,Cash_in,134407.48
2021-01-09,expense,Transfer,384990.55
2021-01-09,expense,Payment,20801.44
2021-01-09,expense,Payment,11880.92
2021-01-09,expense,Payment,5533.32
